feature_name,importance
type3_lag_180,0.25041685
type1_roll_std_180,0.08763881
slot_sin,0.055674367
type3_roll_mean_180,0.028979084
slot_cos,0.021836547
type3_roll_std_180,0.016094306
type0_roll_mean_180,0.015484694
type2_roll_mean_180,0.012375564
type0_roll_std_180,0.012248215
type2_roll_std_180,0.008096089
type1_neighbor_mean_42,0.007480688
type0_neighbor_mean_6,0.007278423
type3_neighbor_mean_42,0.007276888
month_sin,0.007221755
type0_roll_std_42,0.007146037
weekday_sin,0.007083759
type4_roll_mean_42,0.007057156
type0_roll_mean_42,0.007010571
type2_roll_std_42,0.006872205
type0_roll_mean_6,0.006806014
is_holiday,0.006712517
month_cos,0.006633289
type4_roll_std_42,0.006626196
type1_roll_std_42,0.006614472
type1_roll_mean_180,0.006546001
type0_lag_42,0.006482529
type0_lag_180,0.006474325
type4_roll_mean_6,0.006414672
type1_neighbor_mean_1,0.006347023
type4_lag_42,0.006334781
type1_roll_mean_42,0.006329554
weekday_cos,0.006213054
type4_neighbor_mean_6,0.006207247
type0_lag_168,0.006084268
type0_lag_18,0.006029883
type4_neighbor_mean_1,0.005972834
type4_roll_mean_180,0.005911338
type4_lag_180,0.005903903
type4_neighbor_mean_42,0.005894913
type2_roll_mean_42,0.005876062
type3_lag_42,0.005858204
type4_lag_18,0.005823089
type0_lag_84,0.00580179
type0_neighbor_mean_1,0.005771523
type3_neighbor_mean_1,0.005763917
type1_neighbor_mean_6,0.005746708
type1_roll_mean_6,0.005730539
type1_lag_168,0.005727595
type2_neighbor_mean_1,0.005722783
type2_lag_18,0.005709834
type3_roll_mean_42,0.005693052
type1_lag_180,0.005674487
type4_lag_168,0.005657676
type2_neighbor_mean_42,0.005606281
type3_neighbor_mean_6,0.005596571
type0_neighbor_mean_42,0.005561595
type2_roll_mean_6,0.00550187
type3_lag_12,0.005447025
type4_roll_std_180,0.005417666
type3_lag_168,0.005368701
type2_neighbor_mean_6,0.005363308
type3_roll_mean_6,0.005321967
type3_lag_6,0.005315114
type2_lag_12,0.005300168
type0_lag_12,0.005296306
type1_lag_42,0.005260386
is_weekend,0.005253998
type1_lag_84,0.005222722
type4_lag_12,0.005212215
type3_roll_std_42,0.005145829
type3_lag_84,0.005129202
type1_lag_3,0.005125433
type4_lag_84,0.005114137
type2_lag_180,0.005105543
type1_lag_12,0.005069388
type2_lag_3,0.004981395
type3_lag_18,0.00497951
type0_lag_6,0.004965191
type4_lag_6,0.004957366
type2_lag_84,0.00473225
type3_lag_1,0.004664097
type1_lag_2,0.004627502
type2_lag_2,0.004627429
type2_lag_168,0.004620596
type3_lag_2,0.004502646
type3_lag_3,0.0044874
type2_lag_42,0.004469208
type4_lag_3,0.004455785
type2_lag_6,0.004455326
type0_lag_2,0.00436544
type0_lag_1,0.004321056
type1_lag_18,0.004290743
type4_lag_2,0.004273529
type0_lag_3,0.004261008
type4_lag_1,0.004227542
type1_lag_6,0.004191786
type1_lag_1,0.003847966
type2_lag_1,0.003591734
