feature_name,importance
type0_lag_42,0.3859329
type1_roll_std_180,0.13338545
slot_sin,0.037347727
type3_roll_mean_180,0.022685608
is_weekend,0.015414468
type0_roll_mean_180,0.01416258
slot_cos,0.011677279
weekday_cos,0.010247
type2_roll_mean_180,0.009930435
type1_neighbor_mean_42,0.009266144
weekday_sin,0.00919452
type1_roll_mean_42,0.008587177
type3_roll_std_180,0.007471283
type0_roll_std_180,0.007210631
type0_neighbor_mean_42,0.006569728
month_cos,0.006108963
type0_neighbor_mean_6,0.005982804
type1_roll_mean_180,0.005941337
type0_lag_84,0.005872831
type0_lag_1,0.005657262
type2_roll_std_180,0.00564305
type4_roll_mean_180,0.00517062
type4_neighbor_mean_42,0.005056072
type0_roll_std_42,0.005030051
type0_roll_mean_42,0.004971062
type1_lag_168,0.004837549
month_sin,0.004691216
type4_lag_42,0.004534589
type0_lag_168,0.004379585
type2_roll_std_42,0.004238339
type1_lag_1,0.004196899
type4_roll_std_180,0.004194012
type4_roll_std_42,0.004152177
type1_roll_std_42,0.004090909
type4_lag_84,0.00406953
type3_neighbor_mean_42,0.004062427
type1_neighbor_mean_1,0.004043099
type0_neighbor_mean_1,0.004019214
type4_roll_mean_42,0.004018053
type0_roll_mean_6,0.004005713
type2_roll_mean_42,0.003956887
type2_lag_168,0.003914345
type4_lag_18,0.00390542
is_holiday,0.00386696
type4_roll_mean_6,0.003830724
type1_lag_84,0.003822693
type3_neighbor_mean_6,0.003801818
type1_roll_mean_6,0.00379507
type3_neighbor_mean_1,0.0037794
type4_lag_168,0.003768144
type3_roll_std_42,0.003753796
type0_lag_180,0.003747806
type1_lag_42,0.003677767
type2_lag_84,0.003670662
type2_neighbor_mean_1,0.003662417
type4_neighbor_mean_6,0.003646262
type0_lag_18,0.003636464
type2_neighbor_mean_6,0.003614286
type2_neighbor_mean_42,0.003596488
type1_neighbor_mean_6,0.003569452
type4_lag_180,0.003558441
type3_roll_mean_6,0.003525156
type2_lag_180,0.003522995
type3_lag_180,0.003450431
type1_lag_180,0.003434709
type1_lag_18,0.00339002
type2_lag_12,0.003371222
type0_lag_12,0.003341197
type4_neighbor_mean_1,0.003328899
type2_roll_mean_6,0.003288881
type4_lag_12,0.00328562
type3_lag_12,0.003275682
type3_roll_mean_42,0.003273723
type0_lag_6,0.00327249
type3_lag_6,0.003268977
type4_lag_3,0.003237865
type3_lag_18,0.003191642
type0_lag_3,0.003190809
type4_lag_2,0.003136891
type3_lag_42,0.003056128
type2_lag_42,0.002990298
type4_lag_6,0.002952141
type0_lag_2,0.002939791
type1_lag_12,0.002920412
type1_lag_2,0.002912192
type1_lag_6,0.002901064
type3_lag_168,0.002890649
type2_lag_1,0.002888549
type3_lag_84,0.002887589
type2_lag_18,0.00287867
type3_lag_1,0.002852189
type1_lag_3,0.002830469
type3_lag_2,0.002826376
type4_lag_1,0.002805674
type3_lag_3,0.002706176
type2_lag_6,0.002646918
type2_lag_3,0.002577263
type2_lag_2,0.002124636
