feature_name,importance
type1_roll_mean_180,0.30964345
type2_roll_mean_180,0.083410576
type1_roll_std_180,0.07544618
type2_roll_std_180,0.03229437
slot_sin,0.030770304
type0_roll_mean_180,0.020498328
type3_roll_mean_180,0.009659255
slot_cos,0.008775057
type3_roll_std_180,0.008139234
type0_roll_std_180,0.007835398
is_weekend,0.007769995
type2_neighbor_mean_42,0.006694173
type4_roll_std_42,0.0066751097
type2_roll_mean_42,0.006665093
weekday_cos,0.0065751215
weekday_sin,0.006039534
month_cos,0.0059904517
type2_roll_std_42,0.0058908626
type0_roll_mean_42,0.0058468133
type0_lag_42,0.0055418736
type0_roll_std_42,0.005500982
type2_roll_mean_6,0.00545008
type1_neighbor_mean_1,0.005401995
type0_roll_mean_6,0.005392409
type3_roll_mean_6,0.0052856426
type1_neighbor_mean_42,0.005233619
type3_neighbor_mean_6,0.005218467
month_sin,0.005166019
type0_lag_12,0.00514176
type3_neighbor_mean_1,0.0051048067
type3_lag_6,0.0051018023
type0_neighbor_mean_6,0.0050984346
type2_lag_2,0.005087256
type3_roll_std_42,0.0050804582
type3_lag_180,0.005075186
type3_neighbor_mean_42,0.005032943
type4_roll_mean_42,0.0050150724
type4_roll_mean_6,0.0049912776
type0_lag_1,0.004947292
type0_neighbor_mean_1,0.004869321
type0_lag_168,0.004796362
type4_neighbor_mean_42,0.004772257
type4_lag_42,0.0047574774
type1_lag_12,0.004744458
type0_lag_18,0.0047415905
type1_roll_std_42,0.0047085825
type1_lag_84,0.0047033615
type4_lag_84,0.004701372
type4_roll_mean_180,0.004692181
type1_roll_mean_42,0.004686592
type2_lag_84,0.004624206
type4_lag_2,0.0045976136
type0_lag_180,0.004581182
type1_lag_180,0.0045679742
type0_lag_84,0.0045672012
type2_lag_1,0.0045627407
type0_neighbor_mean_42,0.004554355
type4_lag_168,0.004548676
type2_neighbor_mean_6,0.0045395023
type1_neighbor_mean_6,0.0045370716
type3_roll_mean_42,0.0045282897
type1_lag_6,0.004497979
type2_lag_3,0.0044799177
type1_lag_3,0.004453356
type0_lag_6,0.0044508325
type2_lag_18,0.004415866
type2_lag_12,0.004412105
type1_lag_1,0.0043945084
type1_lag_168,0.004353216
type1_lag_42,0.0043340004
type4_roll_std_180,0.0042833155
type2_lag_6,0.004268732
type3_lag_2,0.0042670867
type2_neighbor_mean_1,0.004258868
type4_lag_18,0.0042444714
type0_lag_2,0.004207724
type4_neighbor_mean_6,0.0041859504
type2_lag_42,0.004171883
type1_roll_mean_6,0.004157331
type4_lag_180,0.0041474625
type4_neighbor_mean_1,0.0041254144
type4_lag_6,0.0041173073
type1_lag_18,0.004100241
type3_lag_18,0.0040648836
is_holiday,0.0040452406
type2_lag_180,0.003994044
type0_lag_3,0.0039852397
type3_lag_42,0.0038932753
type4_lag_3,0.0037504274
type3_lag_12,0.003742888
type3_lag_168,0.003635927
type4_lag_12,0.003594366
type1_lag_2,0.0035782508
type3_lag_3,0.0035671184
type3_lag_1,0.0034592852
type4_lag_1,0.0033857943
type2_lag_168,0.0033732634
type3_lag_84,0.0027334027
