feature_name,importance
type0_lag_168,0.1455995
type0_roll_mean_180,0.11312058
type0_roll_std_180,0.04528349
slot_cos,0.036111686
slot_sin,0.035891894
type4_roll_mean_180,0.033363827
type0_lag_168,0.02400917
is_weekend,0.014909446
type0_lag_84,0.014758181
type0_lag_42,0.014173493
type0_roll_mean_42,0.013842581
type4_roll_mean_42,0.010848711
weekday_sin,0.010271534
type4_neighbor_mean_42,0.009283656
type0_lag_18,0.00911855
weekday_cos,0.008546561
type0_roll_std_42,0.008296929
type2_roll_std_42,0.008295247
type4_lag_42,0.008168965
type1_roll_std_180,0.008085974
type0_lag_180,0.008050153
type3_roll_mean_180,0.007769972
type2_roll_mean_42,0.00755403
type1_roll_std_42,0.007509667
type4_lag_84,0.007263197
type2_roll_std_180,0.007104289
type1_roll_mean_180,0.007097144
type0_neighbor_mean_1,0.007044223
type4_lag_12,0.00702401
type3_roll_std_42,0.006876065
type1_lag_84,0.006727764
type4_lag_168,0.006678997
type1_roll_mean_42,0.006674466
type0_lag_12,0.006668168
type2_roll_mean_6,0.006652156
month_cos,0.006603971
type1_lag_180,0.006566175
month_sin,0.006528985
type2_roll_mean_180,0.006383421
type1_roll_mean_6,0.00631334
type2_neighbor_mean_42,0.006310321
type0_neighbor_mean_6,0.006199057
type3_neighbor_mean_42,0.006176041
type0_roll_mean_6,0.00616592
type4_neighbor_mean_6,0.006156509
type3_lag_180,0.006151584
type1_neighbor_mean_42,0.006141131
type3_lag_84,0.006132138
type3_roll_std_180,0.006082968
type3_roll_mean_6,0.005940059
type4_roll_std_42,0.005856268
type2_neighbor_mean_6,0.005824486
type4_neighbor_mean_1,0.005819734
type2_lag_84,0.005817752
type0_neighbor_mean_42,0.005738163
type4_roll_mean_6,0.005734457
type1_lag_12,0.005694904
type0_lag_2,0.005661215
type3_lag_6,0.005657537
type3_neighbor_mean_6,0.005638342
type4_lag_6,0.00558428
type2_lag_168,0.005560197
type4_lag_180,0.005424221
type1_neighbor_mean_6,0.005420091
type3_roll_mean_42,0.005331382
is_holiday,0.005138071
type1_neighbor_mean_1,0.005129661
type3_neighbor_mean_1,0.005126527
type3_lag_168,0.00504285
type0_lag_3,0.00500088
type0_lag_6,0.00494994
type4_lag_18,0.004941997
type3_lag_42,0.004865199
type1_lag_42,0.004862864
type4_lag_3,0.004768148
type1_lag_168,0.004702922
type1_lag_6,0.004534507
type4_lag_1,0.004440283
type3_lag_12,0.004395699
type2_lag_18,0.004389684
type0_lag_1,0.004384279
type1_lag_18,0.00438035
type3_lag_3,0.004365604
type4_lag_2,0.004343899
type3_lag_18,0.004302243
type2_lag_12,0.004259745
type2_lag_1,0.00412144
type2_lag_6,0.004097493
type2_lag_180,0.003933538
type2_lag_2,0.003933105
type2_neighbor_mean_1,0.003914856
type2_lag_42,0.003899529
type1_lag_2,0.003761743
type3_lag_2,0.00368933
type1_lag_3,0.003686841
type1_lag_1,0.003167249
type2_lag_3,0.003091647
type3_lag_1,0.003088985
