feature_name,importance
type0_roll_mean_180,0.4192136
type0_roll_std_180,0.120991625
slot_sin,0.062226508
type0_roll_mean_42,0.03311753
slot_cos,0.026782911
type0_lag_168,0.02376858
type0_lag_84,0.019022167
type0_lag_42,0.013120446
type0_roll_std_42,0.010134227
type4_roll_mean_180,0.009664712
type0_lag_6,0.008807635
weekday_cos,0.008609219
type1_roll_std_180,0.0071023297
type0_neighbor_mean_42,0.0070947735
is_weekend,0.006936238
type0_lag_180,0.006156638
type1_roll_mean_180,0.0061384733
type4_roll_std_180,0.0060017332
type4_roll_mean_42,0.0059852633
weekday_sin,0.0055000414
type0_lag_12,0.0048405505
type0_roll_mean_6,0.004606287
type3_roll_mean_180,0.0045161285
type0_lag_18,0.004259469
type0_neighbor_mean_1,0.0039148997
type4_neighbor_mean_42,0.0037380462
type2_roll_mean_180,0.003701533
type0_lag_1,0.0035111327
type4_roll_std_42,0.0034526077
type2_roll_std_180,0.0033510677
type3_roll_std_180,0.0033413104
type1_roll_std_42,0.0032496906
is_holiday,0.003114468
type3_roll_std_42,0.003019337
type1_lag_84,0.0029965981
month_cos,0.0029240171
type4_neighbor_mean_1,0.0028553414
type4_lag_168,0.0028405648
type2_roll_std_42,0.002814234
type4_neighbor_mean_6,0.0028098526
type1_neighbor_mean_42,0.002793514
type4_lag_42,0.0027383456
type3_roll_mean_6,0.0027379212
type1_lag_42,0.0027013982
type4_lag_84,0.0027012215
type3_neighbor_mean_42,0.0026516558
type0_lag_3,0.002651248
type0_neighbor_mean_6,0.0026441342
type2_neighbor_mean_42,0.0026386953
type1_roll_mean_6,0.0025681488
type2_lag_168,0.0025459288
type3_lag_42,0.0025052414
month_sin,0.0024958407
type4_lag_18,0.0024379531
type1_lag_168,0.0024150363
type4_lag_6,0.002402779
type4_roll_mean_6,0.002401175
type1_neighbor_mean_6,0.0023946306
type4_lag_12,0.0023682904
type2_roll_mean_42,0.0023560768
type3_roll_mean_42,0.0023474835
type1_roll_mean_42,0.0023454987
type2_neighbor_mean_6,0.0023199748
type3_lag_18,0.0022589574
type2_neighbor_mean_1,0.0022406424
type2_lag_84,0.0022378021
type2_lag_42,0.0022082198
type3_neighbor_mean_6,0.0021789088
type3_neighbor_mean_1,0.002176272
type4_lag_180,0.0021688915
type3_lag_180,0.0021124177
type2_roll_mean_6,0.0020875235
type1_lag_2,0.0020742523
type1_neighbor_mean_1,0.0020295864
type3_lag_84,0.0020113068
type2_lag_12,0.0020050362
type2_lag_180,0.0019911886
type3_lag_168,0.001975617
type2_lag_18,0.0019499962
type1_lag_6,0.0019460302
type1_lag_3,0.0019192178
type1_lag_18,0.0019134787
type3_lag_6,0.0018976794
type1_lag_180,0.0018967504
type3_lag_3,0.0018653099
type4_lag_2,0.0018194648
type2_lag_6,0.0018065892
type1_lag_12,0.0017533909
type2_lag_3,0.0017449021
type0_lag_2,0.0017134384
type1_lag_1,0.0017089455
type3_lag_12,0.001697135
type4_lag_1,0.0016032927
type4_lag_3,0.001571749
type2_lag_2,0.0014219104
type3_lag_2,0.001385488
type2_lag_1,0.0012901144
type3_lag_1,0.00094451394
